bridge spider	# a large  often found on bridges and near water ().
blokeishly	# In a blokeish manner
big enchilada	# en A very important person, especially the highest-ranking individual in an organization.#: ''The detectives were trying to identify the '''big enchilada''' who controlled the entire criminal network.''# en Some item of high value, especially a top prize or reward.#: ''When the lottery results were announced, he was stunned to learn that the '''big enchilada''' was all his.''
buzz-phrase	# A phrase drawn from or imitative of technical jargon, and often rendered meaningless and fashionable through abuse by non-technical persons in a seeming show of familiarity with the subject.
butobendine	# An antiarrhythmic drug.Category:en:Drugs
boraginaceous	# en Of, relating to, or resembling the Boraginaceae, a plant family which includes the borage, heliotrope, beggar's lice, and many pestiferous plants.
biohardware	# biological "hardware"; the physical brain, etc. on which biosoftware "runs"
billpaying	# The payment of bills.#: ''an electronic '''billpaying''' service''
bumhood	# The state of being a bum.|passage=You had Commies, capitalists (ruined, but adhering), even monarchists, in '''bumhood'''.}}
buttock line	# en A curve indicating the shape of an airfoil or nautical equivalent in a vertical plane parallel to the longitudinal axis of the craft or vessel.
brocadelike	# Resembling or characteristic of brocade.|passage=Finally, a Tang mortuary tablet seals the impression of unity and refinement in its copious '''brocadelike''' relief.}}
burkholderial	# Relating to proteobacteria of the genus Burkholderia
broth of a boy	# en A first-rate fellow.
Bactrian camel	# The camel with two humps, ''Camelus bactrianus'', native to the steppes of Asia.
book entry	# A bond or similar security for which no certificate is issued, but ownership is recorded on computer.
box braids	File:Omo River Valley IMG 0980.jpg|thumbnail|Woman with box braids in Ethiopia# hair|Hair braids characterized by "boxy" or square-shaped hair divisions.
bicarb	# en bicarbonate|Bicarbonate.
budge an inch	# en Make any change in one's position or opinion, no matter how small.
boxla	# en box lacrosse
bronchomycosis	# en Any fungal infection or disease of the bronchus|bronchi
blobbily	# In a blobby manner.
balaniferous	# en Bearing or producing acorns.
barback	# To work as a barback.
butadienoic acid	# en The allenyl carboxylic acid CH<sub>2</sub>=C=CH-COOH
blowjob	# en An act of fellatio, or sucking a penis or other phallic object (such as a dildo). Stimulation of a somebody's penis or testicles with a person's lips, tongue or mouth with the purpose of giving the receiver sexual pleasure. It may or may not result in orgasm.# en excessive|Excessive praise.#: 
bidisperse	# en Describing a colloid in which the disperse phase particles are of two different sizes
bribing	# bribery|Bribery.
banana leaf	# A leaf of the banana plant.
bockwurst	# a large Frankfurter (type of German sausage).Category:en:Sausages
bromine chloride	# en The interhalogen compound (BrCl) of bromine and chlorine
bicharacter	# en A type of bilinear complex number|passage=In this paper we give a construction of the universal enveloping algebra of a Malcev algebra in categories of group algebra comodules with a symmetry given by a '''bicharacter''' of the group. }}
beadleship	# The office of a beadle.
blind ecash	# A form of ecash that gives the customer ability to spend money without the sender bank tracking where it goes.
basihyoid	# en The central tongue bone.
boots and all	# en Without reserve, with no holds barred; totally, completely.# 
bedizenry	# showy|Showy or gaudy decorations or finery.
Bolon	# An ethnic group in en.Category:en:Languages
bolshevize	# en To make Bolshevik.
balmy	# Producing balm.# soothing|Soothing or fragrant.# mild|Mild and pleasant.# en foolish|Foolish; slightly crazy or mad; eccentric.#: 
blokeyness	# The state or quality of being blokey.
bibliophobe	# One who who fears and hates books, book-learning or reading.
butter knife	# A non-serrated or unilaterally serrated table knife with a dull edge and rounded point, designed for spreading butter on a piece of bread without tearing it.
bronzepunk	# en A subgenre of speculative fantasy or fiction set in an anachronistic bronze age society with modernizing technology based around legendary inventors and inventions of the ancient world, both historical (Archimedes, Hero of Alexandria's aeolipile, the Antikythera mechanism...) and mythical (Hephaestus, Daedalus, bronze automata).# en A person cosplay|cosplaying as a bronzepunk character.
bepucker	# en To pucker.
buccal	# Of or relating to the cheek or, more rarely, the mouth.# en On the side facing the cheek.# en Administered in the mouth, not by swallowing but by absorption through the skin of the cheek; often by placing between the top gum and the inside of the lip.
buccan	# To dry meat on such a frame.
bon voyage	# Used to wish someone a good journey.
beaumontoside	# A particular steroid glycoside.
baby bonus	# A tax credit or payment to families with children, offered by the governments of some countries (including Canada and Australia).
bioinspirational	# Relating to bioinspiration
bufferless	# Without a buffer.
breakfast in bed	# en To enjoy one's breakfast while in bed.
bag of tricks	# en A set of skills, techniques, items of information, or other resources used to help achieve professional or personal goals.#  A collection of items, especially as constituting a very complete set of such items.
beat the shit out of	# en To beat (someone) severely# en To defeat (someone) decisively in a fight or a competition
bump in the road	# en A setback or obstacle, especially one which is relatively minor.# en A very small town.
back-seat driver	# A person sitting (typically) in the back seat of a car issuing (unsolicited and usually unwanted) instructions to the driver.# en An opinionated person who offers (unsolicited and often unwanted) advice on the best way to handle a situation.
black noise	# Technical silence. Noise that has a frequency spectrum of predominantly zero power level over all frequencies except for a few narrow bands or spikes.
bradytelic	# Of or relating to bradytely.
backfist	# A punch performed by forming a fist and striking with the tops of the two largest knuckles.
Boasian	# Of or relating to  (1858–1942), German-American anthropologist and linguist.Category:English eponyms
bunchy top	# A viral disease of various plants, including banana and tomato plants, caused by the Nanoviridae.
belly ring	# A form of body art wherein a piercing is placed in a cauterized puncture of the umbilicus.
basaloid	# Relating to, or composed of basal cells
biofungicidal	# Of or pertaining to biofungicides.
binary numeral system	# en A system for representing numbers in which a radix of two is used; that is, each digit in a binary numeral may have either of two different values.
bogotic	# en Exhibiting bogosity; bogus, bad, incorrect.Category:English 3-syllable words
blaasop	# Any of several species of pufferfish found in South African waters.Category:en:Tetraodontiforms
bust up	# en To physically damage or ruinCategory:English phrasal verbsCategory:English phrasal verbs with particle (up)
buboed	# Covered in buboes.
Babel	# A confused mixture of sounds and voices, especially in different languages. # A place or scene of noise and confusion. # A tall, looming structure. 
bioinformaticist	# a bioinformatician
beckoning	# Such a wave or similar action.Category:en:Directives
brunchtime	# The time at which brunch is eaten.
beachless	# Without a beach or beaches.|passage=The school, on a '''beachless''' Beach Avenue in the Soundview neighborhood, is home to about 280 students during the regular academic year.}}
bromcresol green	# A green triphenylmethane dye used as a pH indicator.
butterbur	# Any of several Eurasian herbs, of the genus , have dense clusters of often purple flowers
beshout	# en To shout at.
bepenciled	# Covered in pencil marks or writing.
bathophenanthroline	# en The heterocycle 4,7-diphenyl-1,10-phenanthroline, used chiefly as a metal complexing agent|passage=A water-soluble palladium(II) '''bathophenanthroline''' complex is a stable recyclable catalyst for the selective aerobic oxidation of a wide range of alcohols to aldehydes, ketones, and carboxylic acids in a biphasic water-alcohol system.}}
beat off	# en To drive something away with blows or military force. Now often used figuratively.|lang=en|year=1697|author=Carradoc Of Lhancarvan|title=The history of Wales|page=33|passage=...which Action did not so much grieve the English, as trouble and vex the Picts and Scots, who were incessantly gauled and frequently '''beat off''' by these Danish Troops.}}enlb|en|intransitive|idiomatic|vulgar|colloquial|chiefly|US|Canada}}
blandishingly	# So as to blandish.
big girl's blouse	# en An effeminate or weak man, a sissy.
breastless	# Without a breast or breasts; flat-chested.
binal	# en twofold; double
bebathe	# en To bathe all over; bathe completely; suffuse.
buttheadedness	# en The state or quality of being buttheaded; stubbornness, especially when in the wrong.
back-form	# To form a word by a back-formation process.Category:English autological terms
bounce into	# To be forced into doing something that one is uncomfortable with.#: ''I didn't want to, but the salesman '''bounced''' me '''into''' it.''Category:English phrasal verbsCategory:English phrasal verbs with particle (into)
bluely	# en porpoise|Porpoise.Category:en:Cetaceans
beload	# en To load up; charge; burden.
boatnecked	# Of clothing: having a boatneck.
bronchiorespiratory	# en Relating to the bronchus|bronchi and the respiratory tract
bowmouth guitarfish	# ''Rhina ancylostoma'', a ray of the family Rhinidae.
bulachite	# en An orthorhombic mineral containing aluminum, arsenic, hydrogen, and oxygen.
bismuthatian	# en Describing minerals that contain bismuthate anions
blood drive	# An activity, usually charitable, in which persons are requested to donate blood, either to maintain a general supply or in response to a specific shortage or emergency.
biocarbon	# carbon produced from biomass|passage=Banagrass has been examined in air blown gasification studies 30 ] and for metallurgical '''biocarbon''' production 
banana pudding	# A dessert of the southern United States, made with layers of vanilla custard, cookies, and sliced fresh bananas.
black haw viburnum	# , native to eastern and east south central United States.
bush muhly	# A perennial bunchgrass native to the southwestern US and northern Mexico, Category:en:Cynodonteae tribe grasses
bottomer	# A person who makes the seat part of a wooden chair (i.e. where the sitter's bottom will go).# en A person employed to attend to the bottom of the shaft.
buttweld	# The junction formed by this kind of welding.
brantail	# en The European redstart.
Bézier curve	# en A parametric curve defined by a set of control points, two of which are the ends of the curve, and the others determine its shape. Bézier curves are applied e.g. in computer graphics to produce smooth, infinitely scalable curves. 
benzothiazole	# en A bicyclic heterocycle consisting of a benzene ring fused to that of thiazole
bottomed	# en Having some specified type of bottom.
byturid	# en Any member of the Byturidae.
babealicious	# en sexual|Sexually attractive, like a babe.
brumate	# en To be in a lethargic state, somewhat analogous to hibernation but not the same. Commonly found in reptiles and in some other animal species, such as bears.#: ''My snake is starting to '''brumate'''.''
Bath chair	# en An early form of wheelchair with three wheels, used to transport ladies or invalids, common in Victorian England.#:* '''1904''': He was an invalid, keeping his bed half the time, and the other half hobbling round the house with a stick or being pushed about the grounds by the gardener in a '''Bath chair'''. — Arthur Conan Doyle, ‘The Adventure of the Golden Pince-Nez’ (Norton 2005, p.1096)
bilateral descent	# Descent traced from all biological descendants, regardless of sex and side of the family.# Descent traced from an ancestor, regardless of sex and side of the family of the intervening generations.#: ''Only by '''bilateral descent''' is a boy related to his mother's grandfather.''Category:en:Family
backtesting	# The process of testing a strategy, model etc. using data from a previous time
bordetellosis	# en An infection by bacterium|bacteria of the genus Bordetella
bacmid	# en A shuttle vector that can be propagated in both ''E. coli'' and insect cells.
bloodspot	# A spot of blood.|passage=“Racism is still an ugly thing in this country,” he says, dabbing at a tiny '''bloodspot'''.}}
bellgirl	# A female bellhop.
Baby Bell	# en Any of the  resulting from the division of  into a number of smaller companies in the 1980s as part of an antitrust agreement.
biperforate	# Having two foramen|foramina or perforations
bentsh	# en To recite the w:Birkat Hamazon|Birkat Hamazon.
Bloomsburyan	# Of or pertaining to the , an English literary group of the early twentieth century.
beetlebrain	# A stupid person.
boy in blue	# en A policeman.
bitstring	# en a sequence of bits (binary digits)
barang	# en black magic; sorcery
biofriendly	# environmentally friendly#: ''Billy made a '''biofriendly''' choice by recycling his aluminum cans.''
B-list	# An informal list of people in any of several categories (but especially in the entertainment industry) who are admired, desirable or bankable, but not as much as the people on the A-list.
bardism	# The system of bards; the learning and maxims of bards.
brown Windsor soup	# A hearty traditional British meat soup of disputed origin.Category:en:Soups
biotecture	# en Any of several types of architecture that use forms influenced by biological structures.
bruxist	# One who has bruxism; a person who grinds the teeth.Category:en:People
bullheadedly	# In a bullheaded manner.
bookmonger	# en A bookseller.
bloomless	# Without blooms.#: ''In winter, the '''bloomless''' trees looked gaunt and miserable.''
bo lei	# Pu-erh tea
Brunerian	# Of or relating to psychologist  (born 1915).Category:English eponyms
biospherian	# An inhabitant of a biosphere.
be one's own worst enemy	# en To cause problems for one's self, act contrary to one's own interest, self-sabotage.#: 
blazoned trail	# A trail that is conspicuous and therefore easy to follow.#: ''Fortunately, I found a '''blazoned trail''' that led me back to a major road.''# en A beaten track; a well-trodden path.
brunescent	# Becoming brown in colour.
bucatini	# A thicker form of spaghetti with a hole running through it.
blackenize	# en To increase the racially black character of.
bottom edge	# en To hit the ball with the bottom edge of the bat.
barbitone	# barbital
brohemian	# en A bro who has adopted or affects a Bohemian lifestyle.
bathyscaphe	# A self-propelled deep-sea diving submersible for exploring the ocean depths, consisting of a crew cabin similar to a bathysphere suspended below a float filled with a buoyant liquid such as petrol.
bushman	# en A man who lives in or has extensive experience of the Australian bush or outback.
bucladesine	# A cyclic nucleotide derivative and phosphodiesterase inhibitor.
bibliobibuli	# The sort of people who read too much.
bufagin	# en Any of a class of toxic steroids found in bufotoxin.
basidiobolomycosis	# A fungal disease caused by a fungus in the genus ''Basidiobolus''.
belittling	# belittlement
Blue Hawaii	# A cocktail of rum, pineapple juice, curaçao, sweet-and-sour mix, and sometimes vodka.
butler	# To buttle, to dispense wines or liquors; to take the place of a butler.
bioorganometallic	# en Of or relating to the role of organometallic compounds in biological processes
biogenic	# produced by living organisms, or by a biological process# essential for the maintenance of life
bethe	# A unit of energy equivalent to 10<sup>51</sup> ergs, or 10<sup>44</sup> joules.
basalt	# en A hard mafic igneous rock of varied mineral content; volcanic in origin, which makes up much of the Earth's oceanic crust.# A type of unglazed pottery.
breadstuff	# flour|Flour, grain (such as wheat or oats), or any cereal, such as would be used in the making of bread# bread of any sort#: ''Mary volunteered to bring '''breadstuff''' to the meeting.''
behappen	# en To happen to.#: 
bourgeonal	# An aromatic aldehyde with a floral fragrance, used in perfumery.|passage=It is known to respond to '''bourgeonal''' and is suppressed by undecanal (Table 9).}}
boobless	# en Without boobs (breasts).
Breastapo	# en overzealous|Overzealous lactivists who pressure women to breastfeed and criticize formula-feeders, taken as a group.
balloon frame	# en A house frame constructed entirely of small timber.
brachionichthyid	# en Any member of the Brachionichthyidae.
Blissymbol	# Any of the ideographs in the Blissymbols language.Category:English eponyms
bag of nerves	# en A very nervous person.
bumblesome	# Characterised or marked by bumbling
blue-eyed grass	# Any of several plants with grasslike leaves and blue or purple flowers, especially  and .
bearshit	# en The excrement of a bear.
bevelled	# Having a bevel, especially at an edge
bearship	# The character or personality of a bear.
bipedally	# In the manner of an animal that walks on two feet, two leg|legs.
Bactrian	# A native or inhabitant of Bactria.
bromoxynil	# A herbicide, ''3,5-dibromo-4-hydroxybenzonitrile'', used with cereals.
broderie	# embroidery pattern
bisarylated	# en arylated with two aryl groups
biceped	# Having a certain type, or form of biceps
brown note	# A hypothetical en frequency that would cause a person to lose control of his or her en.Category:en:Sound
blow off	 (someone or something)# en To pass gas; to break wind.# en To vent, usually, to reduce pressure in a container.#: ''The radioactivity was released when they '''blew off''' steam from the containment vessel.''# en To let steam escape through a passage provided for the purpose.#: ''The engine or steamer is '''blowing off'''.''# en to shirk or disregard (a duty or person).#: ''I decided to '''blow off''' the meeting and leave early.''#: ''We've both been '''blowing off''' Peter all day: he's really boring.''# en To forcibly disconnect something by use of a firearm or explosive device.#: ''Her leg was '''blown off''' by a landmine.''
bend the truth	# en To change or leave out certain facts of a story or situation, generally in order to elicit a specific response in the audience.#: ''In relating the story to Julie, he decided to '''bend the truth''' just enough to make her think he had really been in danger.''
botrydial	# en A bicyclic aldehyde, ''(1S,3aR,4S,6R,7S,7aS)-1,7-diformyl-7a-hydroxy-1,3,3,6-tetramethyl-2,3a, 4,5,6,7-hexahydroinden-4-yl] acetate'' that is a phytotoxic sesquiterpene metabolite secreted by the fungus Botrytis cinerea
butyric	# en Of, pertaining to, or characteristic of butter# en Of, pertaining to, or derived from butyric acid or any of the isomeric univalent radicals of formula C<sub>3</sub>H<sub>7</sub>CO<sub>2</sub>-
butyrin	# en The triglyceride of butyric acid; the principal constituent of butterfatCategory:English 3-syllable words
bluet-eyed	# having eyes with the colour and appearance of bluetsCategory:English parasynthetic adjectives
biochronologically	# In terms of, or by means of, biochronology.
Brittonicism	# en A Brittonic feature of a language.
bathroomware	# sanitary ware for use in bathrooms: sinks, toilets, etc.
berylliosis	# en A chronic disease of the lungs, caused by inhalation of beryllium compounds.
byelection	# An election held to fill a political office that has become vacant between regularly-scheduled elections.
branchiate	# en Furnished with branchiae.#: '''''branchiate''' segments.''
blackwashing	# en The revisionist portrayal of something as belonging to a black race of people.# The application of a coating of blackwash.# en The revisionist portrayal of something as evil.
bedroom eyes	# eye|Eyes that have a sexually suggestive expression.
barksome	# Characterised or marked by barking
boresighting	# The alignment of a microwave or radar antenna using purely optical means# The alignment of the bore of a gun and its gunsight in parallel
brake horsepower	 (''Abbreviated as'': bhp or b.hp.)# The useful horsepower of an engine as measured at its drive shaft.
bazhenovite	# en A monoclinic-prismatic mineral containing calcium, hydrogen, oxygen, and sulfur.
bull-necked	# Having a short and thick neck, like that of a bull.#: Category:English parasynthetic adjectives
bulkage	# bulk
blatant	# en bellow|Bellowing; disagreeably clamorous; sounding loudly and harshly.# obvious|Obvious, on show; unashamed; loudly obtrusive or offensive.|volume=188|issue=26|page=18|magazine=|title=http://www.guardian.co.uk/commentisfree/2013/jun/02/hypocrisy-lies-at-heart-bradley-manning-trial Hypocrisy lies at heart of Manning prosecution]|passage=WikiLeaks did not cause these uprisings but it certainly informed them. The dispatches revealed details of corruption and kleptocracy that many Tunisians suspected,&nbsp;
bimanal	# en Of or relating to the Bimana.
belonoid	# Shaped like a needle
biteforce	# The force applied by the masticatory muscles when biting or chewing.
baccated	# Having many berry|berries.# en Set or adorned with pearls.
bolden	# To make bold; to embolden.
balance dock	# A kind of floating dock which is kept level by pumping water out of, or letting it into, the compartments of side chambers.
birdwing	# Any of various papilionid butterfly|butterflies of exceptionally large size with angular wings.Category:en:Butterflies
blindfoldee	# A person who is blindfolded.
blindfolder	# One who, or an object which, blindfolds someone.
bipyrazole	# en Any of several isomeric bicyclic heterocycles in which two pyrazole rings are directly linked with a single bond.
believe in	# en To ascribe existence to.#: ''Do you '''believe in''' God? / the Easter Bunny? / ghosts?''#: ''Since I don't '''believe in''' reincarnation, I believe that the only way to eliminate suffering is to die.''# en To believe that (something) is right or desirable.#: ''I don't '''believe in''' sex before marriage.''#: ''I don't '''believe in''' making my bed.''# en To have confidence in the ability or power of.#: ''I '''believe in''' you, man! You can do it!''
blanket party	# A form of corporal punishment or hazing formerly common in militaries in which the victim is restrained with a blanket and beaten.
Bucknellian	# Of or relating to Bucknell University.Category:English eponyms
buttonholing	# The act of detaining someone in conversation against his or her will.
baconburger	# A hamburger served with bacon as a topping.
biringuccite	# en A monoclinic-prismatic mineral containing boron, hydrogen, oxygen, and sodium.
bradymetabolism	# A slow metabolism
blop	# en To plop 
bearthite	# en A mineral containing aluminum, calcium, hydrogen, oxygen, and phosphorus.
barley	# A cereal of the species , or its grains, often used as food or to make beer and other malted drinks.
Bostonian	# Related to, characteristic of, or residing in Boston.#: '''''Bostonian''' fashions are reserved, even dull, when compared to California style.''
bubbly	# en champagne|Champagne.#: ''We're getting married - this calls for a bottle of '''bubbly'''!''
battle rapper	# A person who participates in a freestyle rap battle, attempting to insult an opponent by using witty improvised rapping.
biphenotypic	# Relating to biphenotypy
bromhexine	# en A mucolytic agent used in the treatment of respiratory disorders associated with viscid or excessive mucus.
bromoiodized	# en Treated with bromides and iodides.
becatecarin	# A form of rebeccamycin
biochromatic	# Pertaining to colour produced by processes in living organisms.
babylift	# The evacuation of foreign children from abroad into a country for adoption.
banghyang	# en A metallophone of Korean origin.
bioingredient	# Any bioactive ingredient in a functional food.
biconjugate	# en paired twice# en conjugate in two ways
brompheniramine	# An antihistamine drug of the propylamine class.
Britpoppy	# en Resembling or characteristic of Britpop.
boat ramp	# an inclined slab, or a channel, where small boats are launched.
bracer	# That which braces, binds, or makes firm; a band or bandage.# en A covering to protect the arm of the bowman from the vibration of the string.# armor|Armor for the forearm; a brassard.# A medicine, as an astringent or a tonic, which gives tension or tone to any part of the body.
Bohemian chatterer	# A bird, the Bohemian waxwing.Category:en:Perching birds
book-burner	# A person who practises book-burning.
bargainer	# A person who makes a bargain.
biocatalyzator	# en enzyme
bishopless	# Without a bishop.
buist	# en To mark with a buist.
biochem	# en biochemistry (science or industry)
bargainee	# en The party to a contract who receives, or agrees to receive, the property being sold.#: Category:en:People
blanquillo	# tilefish
bulldog	# en To chase (a steer) on horseback and wrestle it to the ground by twisting its horns (as a rodeo performance).
blotchily	# In a blotchy manner.#: ''Sunlight filtered '''blotchily''' through the forest canopy.''
beat one's head against a stone wall	# en To waste effort on a futile project.
bambosh	# en To bamboozle; to deceive with nonsense.
bullous	# Of, pertaining to or characterized by bullae
berkovets	# An old Russian unit of weight, approximately 164 kilograms or 10 pood|poods.
baby capsule	# A portable enclosed seat for a young infant, for use in motor vehicles.
ball machine	# en A machine that shoots tennis balls out of a pipe, allowing a player to practise hitting them.
Bordeaux	# A wine coming from that area.#: ''We had a nice bottle of Bordeaux last night.''# A Bordeaux mixture.
biomathematician	# One who studies biomathematics.
bobèche	# A cup or ring at the top of a candlestick, used to catch melted wax running down the side of the candle.Category:English terms spelled with È|bobeche
bodyguard	# en To act as bodyguard for (someone); ''figuratively'', to protect.Category:en:OccupationsCategory:en:People
blow a gasket	# en To become very angry or upset.#: ''Jack '''blew a gasket''' when he saw his son's poor report card.''#  To cause the seal made by a gasket to fail.
brewmaster	# A person in charge of beer production at a brewery|passage=Garrett Oliver, the '''brewmaster''' at the Brooklyn Brewery, cites the high cost of labor and storage for these beers, which are made by hand in small lots.}}
bewilderedly	# In a bewildered manner; with puzzlement.
biotically	# In a biotic manner
biopurification	# biological purification (typically of a water supply)
bombycinous	# en silken; made of silk#: # en Of the colour of the silkworm; transparent with a yellow tint.#: 
bakgat	# en great|Great, good, fine, excellent.
betasatellite	# en A form of single-stranded satellite DNA associated with plant viruses
basebrawl	# en A fight that break out|breaks out at a baseball game.
browspot	# en A rounded organ between the eyes of the frog; the interocular gland.
butut	# A unit of currency, worth one hundredth of a Gambian dalasiCategory:en:Currency
bread and butter pudding	# A baked dessert made of buttered bread soaked in an egg and milk sauce, usually with dried fruit.
bracketless	# Without brackets (in various senses).
backland	# land|Land that lies behind or beyond some primary settlement or development.|passage=He has developed a sophisticated, inventive way to use these modulations that were quite common in the singers we heard there in the '''backlands''' of the northeast.”}}
B.C. roll	File:BC_Roll.jpg|right|thumb|B.C. roll# A form of makizushi popular in British Columbia, containing barbecued salmon, cucumber, and other varying ingredients.
bromodosis	# en body odour|Body odour affecting the foot|feet.|passage=Li Zhixiang, a member of the PAP, which is estimated to have more than one million members, said the new shoes had dealt a body blow to '''bromodosis'''.}}
burnlike	# Resembling or characteristic of a burn.|passage=What is happening to cause these '''burnlike''' skin lesions?}}
bucket sort	# en A sorting algorithm that partitions an array into a number of buckets (groups of elements) which are then individually sorted, either recursively or using some other algorithm.
berdache	# en Among Native Americans, a person who identifies with any of a variety of gender identity|gender identities which are not exclusively those of their biological sex; a transgender person. 
bobierrite	# en A monoclinic-prismatic mineral containing hydrogen, magnesium, oxygen, and phosphorus.
bounded function	# en Any function whose values remain bounded by some constant.
bill of credit	# A bill issued by a state, on the mere faith and credit of the state, and designed to circulate as money.
bladderwrack	# ''Fucus vesiculosus'', a seaweed in which iodine was first discovered.
bleed dry	# en To wait until all the blood of (a slaughtered animal) has drained off.#: ''Slaughtered livestock is usually '''bled dry''' prior to butchering.''# en To bleed white.
bhaiya	# en elder brother# en friend, dude, man# en a Hindi-speaking North IndianCategory:en:People
bufezolac	# A nonsteroidal anti-inflammatory drug.Category:en:Drugs
bumbledom	# bureaucracy; mannerisms characteristic of pompous, arrogant or pretentious official#Noun|officials.|year_published='''2003'''|edition=Digitized|editor=|author=G.M. Trevelyan|title=Illustrated English Social History|chapter=|url=http://www.archive.org/stream/illustratedengli007474mbp/illustratedengli007474mbp_djvu.txt|genre=|publisher=Longman's Green and Co.|isbn=|page=|passage=With the meekness went a strain of mild obstinacy exquisitely calculated to infuriate the self-important '''bumbledom''' of that time, as when the Friends refused to remove their hats before the Court that was to try them.}}
belldom	# The world of bells and bellringing.
business casual	# Any standard of dress used in many business environments that excludes certain casual and overly formal clothes, such as (for men) a business suit and tie.
blurse	# Something that has both very good and very bad points.
bikeporn	# en image|Images of bicycles, and associated equipment, in a style meant to arouse feelings of appreciation and envy.
bungee cord	# A long elastic cord tied around the ankles of the jumper in bungee jumping.# An elastic fabric-bound strap with a hook at each end, used for securing luggage.
baleen whale	# Any of several large whales, of the suborder Mysticeti, that have plates of whalebone instead of tooth|teeth
bon sao	# A particular defensive move in Wing Chun.
biosynthetic	# en of or pertaining to biosynthesis
blisteringly	# In a blistering manner.#: '''''blisteringly''' hot weather''#: ''a '''blisteringly''' fast pace''
bagsy	# en To make a verbal claim to#: ''I '''bagsy''' the top bunk of the bed.''
Beethovenian	# Of or pertaining to , in particular his style of music.
biodebridement	# debridement|Debridement of a wound by means of living organisms, specifically maggots, which eat the necrotic tissue.
bewelcome	# en To welcome; greet or bestow with a welcome; welcome fully or completely.
bestsellerdom	# The quality of having the status of bestseller.
bread-worship	# en The worship of the host; artolatry.
bacterioscopic	# Of or pertaining to bacterioscopy.
boetie	# en brother# en man, fellow
bystanderish	# en Of, or characteristic of a bystander.
biofumigant	# Any fumigant of biological origin.|passage=Especially ITC show antimicrobial and antinematicidal activities, thereby being promising '''biofumigants'''.}}
baldric	# A belt used to hold a sword, sometimes richly ornamented, worn diagonally from shoulder to hip.
baldrib	# en A piece of pork cut lower down than the sparerib, and destitute of fat.#: 
bob-cherry	# A game where one tries to snap at a swinging cherry with one's mouth.Category:English exocentric verb-noun compoundsCategory:en:Games
Bangsamoro	# An envisaged nation or state for Filipino Muslims.
bartery	# en barter#: 
Bakelite	# A heat-resisting chemically inert phenol formaldehyde resin (an early thermosetting plastic).
broad church	# en A wide scope of political or religious philosophy|philosophies and ideas.#: ''The Liberal party in Australia is often described as being a '''broad church''', encompassing conservatives and radicals, wets and dry|dries.''
black eye	# An eye which has been bruised showing noticeable hematoma, especially after receiving a blow#: # en A defeat.# en damage|Damage to a reputation.# en An eye having a dark iris, regarded as a point of beauty.
biooptics	# The optics of biological organisms
brambly	# covered in brambles
broken number	# en A fraction.
bornness	# The state or condition with which one is born; one's inherent quality; natural ability or inclination.
bioneutralize	# To neutralize biologically or biochemically
ballcourt	# A large masonry structure of a type used in Mesoamerica to play the .
biomicrite	# en A form of limestone consisting of bioclasts in a micrite matrix
bramble	# en Common blackberry.|title=https://openlibrary.org/works/OL10563347W The Three Corpse Trick]|chapter=5|passage=The hovel stood in the centre of what had once been a vegetable garden, but was now a patch of rank weeds. Surrounding this, almost like a zareba, was an irregular ring of gorse and '''brambles''', an unclaimed vestige of the original common.}}enlb|en|US}}
botijo	# A traditional Spanish porous clay vessel designed to hold water and to cool it by evaporation.
Bokmål	# One of the two major written standards of Norwegian, literally meaning “book language”.
bless oneself	# To make the sign of the cross
bell metal	# A hard alloy of about four parts of copper to one of tin, used for making bells.
biosynthesis	# en The synthesis of organic compounds within a living organism, especially the synthesis of large compounds from small ones.
bifactor	# A factor that influences two (separate or related) consequences|passage=Posthoc, a '''bifactor''' model in which (besides the 5 separate factors) a general factor is hypothesized accounting for the commonality of the items showed a significantly better fit than the five factor model.}}
boatie	# A boater # en A boat.
bag and baggage	# en With all one's possessions.Category:English cognate expressionsCategory:English coordinated pairs
Briarean	# Relating to, or resembling, Briareus, a giant fabled to have a hundred hands; many-handed.
burnishing	# A polishing.
bite one's tongue	# en To forcibly prevent oneself from speaking, especially in order to avoid saying something inappropriate or likely to cause a dispute.
blue bull	# The nilgaiCategory:en:Antelopes
barometrograph	# A form of barometer capable of recording the variations of atmospheric pressure onto paper.
blood wings	# red wings#English|Red wings.#: ''Dude, I got '''blood wings''' going down on Veronica yesterday, I had to wipe off the blood with an SOS pad I was so disgusted.''#: ''My little brother Trevor was so giddy he finally got his '''blood wings''' today!''
betazole	# A histamine H<sub>2</sub> receptor agonist.
braggite	# en A tetragonal-dipyramidal steel gray mineral containing nickel, palladium, platinum, and sulfur.
building code	# A mandatory set of rules on building design, construction, testing, inspection, and maintenance to protect public health, safety, and welfare.
bergall	# ''mul'', a en native to the western en, inhabiting en waters near the sea floor at depths of 10–128 metres (33–420 feet) and at latitudes of 36°–49° north, and reaching up to 38 centimetres (15 inches) in total length and up to 1 kilogram (2·2 pounds) in weight.
begging the question	# A logical fallacy in which a premise of an argument contains a direct or indirect assumption that the conclusion is true; offering a circular argument; circular reasoning.#: 
bellbind	# Rutland beautyCategory:en:Morning glory family plants
bias distortion	# Distortion in an electronic circuit caused by the potential applied across elements to provide a zero signal.
bimonad	# en An opmonoidal monad.
bioneutralization	# biological or biochemical neutralization (in any of several contexts)
bananner	# en banana
Brontean	# Of or pertaining to any or all of the w:Brontë|Brontë sisters, English writers of the 1840s and 1850s, or to their works or style.Category:English eponyms
